2021-09-08 17:27:43.993 CAT [7000] LOG:  database system was interrupted; last known up at 2021-07-26 10:02:09 CAT
2021-09-08 17:31:51.809 CAT [7000] LOG:  database system was not properly shut down; automatic recovery in progress
2021-09-08 17:31:52.225 CAT [7000] LOG:  redo starts at 0/16F45E0
2021-09-08 17:31:52.255 CAT [7000] LOG:  invalid record length at 0/16F46C8: wanted 24, got 0
2021-09-08 17:31:52.259 CAT [7000] LOG:  redo done at 0/16F4690
2021-09-08 17:31:56.281 CAT [6980] LOG:  database system is ready to accept connections
2021-09-09 00:35:13.468 CAT [6980] LOG:  statistics collector process (PID 2140) exited with exit code 1
2021-09-08 22:35:15.326 GMT [6524] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-08 22:35:15.332 GMT [6524] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-08 22:35:15.343 GMT [6524] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-08 22:35:15.343 GMT [6524] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-09 00:35:15.380 CAT [6980] LOG:  statistics collector process (PID 6524) exited with exit code 1
2021-09-09 00:36:10.707 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-09-08 22:36:15.500 GMT [10924] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-08 22:36:15.506 GMT [10924] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-08 22:36:15.517 GMT [10924] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-08 22:36:15.517 GMT [10924] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-09 00:36:15.554 CAT [6980] LOG:  statistics collector process (PID 10924) exited with exit code 1
2021-09-08 22:37:15.680 GMT [9564] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-08 22:37:15.685 GMT [9564] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-08 22:37:15.694 GMT [9564] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-08 22:37:15.694 GMT [9564] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-09 00:37:15.717 CAT [6980] LOG:  statistics collector process (PID 9564) exited with exit code 1
2021-09-09 00:37:24.074 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-09-08 22:38:15.850 GMT [4464] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-08 22:38:15.855 GMT [4464] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-08 22:38:15.864 GMT [4464] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-08 22:38:15.864 GMT [4464] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-09 00:38:15.885 CAT [6980] LOG:  statistics collector process (PID 4464) exited with exit code 1
2021-09-09 00:38:37.524 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-09-08 22:39:16.111 GMT [6524] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-08 22:39:16.117 GMT [6524] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-08 22:39:16.126 GMT [6524] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-08 22:39:16.126 GMT [6524] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-09 00:39:16.160 CAT [6980] LOG:  statistics collector process (PID 6524) exited with exit code 1
2021-09-09 00:39:50.970 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-09-08 22:40:16.278 GMT [10864] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-08 22:40:16.284 GMT [10864] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-08 22:40:16.293 GMT [10864] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-08 22:40:16.293 GMT [10864] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-09 00:40:16.328 CAT [6980] LOG:  statistics collector process (PID 10864) exited with exit code 1
2021-09-09 00:41:04.797 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-09-08 22:41:16.452 GMT [1472] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-08 22:41:16.457 GMT [1472] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-08 22:41:16.468 GMT [1472] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-08 22:41:16.468 GMT [1472] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-09 00:41:16.492 CAT [6980] LOG:  statistics collector process (PID 1472) exited with exit code 1
2021-09-08 22:42:16.617 GMT [11248] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-08 22:42:16.622 GMT [11248] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-08 22:42:16.631 GMT [11248] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-08 22:42:16.631 GMT [11248] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-09 00:42:16.652 CAT [6980] LOG:  statistics collector process (PID 11248) exited with exit code 1
2021-09-09 00:42:18.115 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-09-08 22:43:16.795 GMT [10784] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-08 22:43:16.801 GMT [10784] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-08 22:43:16.813 GMT [10784] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-08 22:43:16.813 GMT [10784] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-09 00:43:16.850 CAT [6980] LOG:  statistics collector process (PID 10784) exited with exit code 1
2021-09-09 00:43:31.260 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-09-08 22:44:16.991 GMT [5892] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-08 22:44:16.996 GMT [5892] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-08 22:44:17.005 GMT [5892] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-08 22:44:17.005 GMT [5892] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-09 00:44:17.038 CAT [6980] LOG:  statistics collector process (PID 5892) exited with exit code 1
2021-09-09 00:44:44.584 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-09-08 22:45:17.167 GMT [4232] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-08 22:45:17.172 GMT [4232] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-08 22:45:17.181 GMT [4232] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-08 22:45:17.181 GMT [4232] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-09 00:45:17.201 CAT [6980] LOG:  statistics collector process (PID 4232) exited with exit code 1
2021-09-09 00:45:57.543 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-09-08 22:46:17.323 GMT [10672] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-08 22:46:17.328 GMT [10672] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-08 22:46:17.337 GMT [10672] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-08 22:46:17.337 GMT [10672] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-09 00:46:17.364 CAT [6980] LOG:  statistics collector process (PID 10672) exited with exit code 1
2021-09-09 00:47:10.893 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-09-08 22:47:17.582 GMT [2120] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-08 22:47:17.587 GMT [2120] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-08 22:47:17.596 GMT [2120] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-08 22:47:17.596 GMT [2120] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-09 00:47:17.615 CAT [6980] LOG:  statistics collector process (PID 2120) exited with exit code 1
2021-09-08 22:48:17.746 GMT [3964] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-08 22:48:17.751 GMT [3964] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-08 22:48:17.760 GMT [3964] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-08 22:48:17.760 GMT [3964] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-09 00:48:17.781 CAT [6980] LOG:  statistics collector process (PID 3964) exited with exit code 1
2021-09-09 00:48:24.199 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-09-08 22:49:17.906 GMT [268] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-08 22:49:17.911 GMT [268] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-08 22:49:17.920 GMT [268] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-08 22:49:17.920 GMT [268] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
