2021-09-16 16:36:53.687 GMT [11984] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-16 16:36:53.688 GMT [11984] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-16 16:36:53.690 GMT [11984] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-16 16:36:53.690 GMT [11984] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-16 18:36:53.710 CAT [6980] LOG:  statistics collector process (PID 11984) exited with exit code 1
2021-09-16 18:36:54.354 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-09-16 16:37:53.734 GMT [84] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-16 16:37:53.735 GMT [84] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-16 16:37:53.737 GMT [84] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-16 16:37:53.737 GMT [84] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-16 18:37:53.757 CAT [6980] LOG:  statistics collector process (PID 84) exited with exit code 1
2021-09-16 18:38:09.600 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-09-16 16:38:53.795 GMT [11260] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-16 16:38:53.795 GMT [11260] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-16 16:38:53.797 GMT [11260] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-16 16:38:53.797 GMT [11260] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-16 18:38:53.801 CAT [6980] LOG:  statistics collector process (PID 11260) exited with exit code 1
2021-09-16 18:39:24.925 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-09-16 16:39:53.831 GMT [4960] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-16 16:39:53.832 GMT [4960] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-16 16:39:53.834 GMT [4960] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-16 16:39:53.834 GMT [4960] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-16 18:39:53.858 CAT [6980] LOG:  statistics collector process (PID 4960) exited with exit code 1
2021-09-16 18:40:40.372 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-09-16 16:40:53.893 GMT [13924] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-16 16:40:53.894 GMT [13924] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-16 16:40:53.896 GMT [13924] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-16 16:40:53.896 GMT [13924] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-16 18:40:53.920 CAT [6980] LOG:  statistics collector process (PID 13924) exited with exit code 1
2021-09-16 16:41:53.949 GMT [11556] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-16 16:41:53.950 GMT [11556] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-16 16:41:53.952 GMT [11556] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-16 16:41:53.952 GMT [11556] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-16 18:41:53.969 CAT [6980] LOG:  statistics collector process (PID 11556) exited with exit code 1
2021-09-16 18:41:56.082 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-09-16 16:42:54.005 GMT [4916] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-16 16:42:54.006 GMT [4916] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-16 16:42:54.008 GMT [4916] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-16 16:42:54.008 GMT [4916] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-16 18:42:54.027 CAT [6980] LOG:  statistics collector process (PID 4916) exited with exit code 1
2021-09-16 18:43:11.847 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
