2021-10-12 13:23:16.756 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-10-12 11:23:39.217 GMT [10716] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-12 11:23:39.218 GMT [10716] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-12 11:23:39.220 GMT [10716] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-10-12 11:23:39.220 GMT [10716] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-10-12 13:23:39.224 CAT [6980] LOG:  statistics collector process (PID 10716) exited with exit code 1
2021-10-12 13:24:32.519 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-10-12 11:24:39.252 GMT [18528] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-12 11:24:39.253 GMT [18528] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-12 11:24:39.255 GMT [18528] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-10-12 11:24:39.255 GMT [18528] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-10-12 13:24:39.259 CAT [6980] LOG:  statistics collector process (PID 18528) exited with exit code 1
2021-10-12 11:25:39.302 GMT [19260] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-12 11:25:39.303 GMT [19260] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-12 11:25:39.305 GMT [19260] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-10-12 11:25:39.305 GMT [19260] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-10-12 13:25:39.320 CAT [6980] LOG:  statistics collector process (PID 19260) exited with exit code 1
2021-10-12 13:25:44.044 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-10-12 13:30:43.699 GMT [3236] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-12 13:30:43.700 GMT [3236] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-12 13:30:43.702 GMT [3236] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
